game_id,gameid_num,away,home,tm,line,min,fgm,fga,3pm,3pa,ftm,fta,off,def,tot,ast,pf,st,to,bs,ba,pts
20131123CHAMIL,21300193,CHA,MIL,CHA,110,240,38,77,5,14,15,27,14,38,52,18,13,9,14,4,2,96
20131123CHAMIL,21300193,CHA,MIL,MIL,-130,240,30,85,5,18,7,9,11,25,36,21,21,7,15,2,4,72
20131123CLESAS,21300194,CLE,SAS,CLE,800,240,39,83,4,13,14,20,10,27,37,19,21,9,17,2,5,96
20131123CLESAS,21300194,CLE,SAS,SAS,-1400,240,46,80,16,24,18,23,6,31,37,30,17,9,15,5,2,126
20131123DALDEN,21300195,DAL,DEN,DAL,180,240,35,87,7,21,23,25,7,32,39,17,19,8,11,2,3,100
20131123DALDEN,21300195,DAL,DEN,DEN,-220,240,35,79,11,32,21,30,8,36,44,24,18,7,18,3,2,102
20131123PORGSW,21300196,POR,GSW,POR,170,240,37,86,10,21,29,35,13,34,47,27,22,8,15,9,4,113
20131123PORGSW,21300196,POR,GSW,GSW,-200,240,36,77,7,17,22,30,5,36,41,20,31,4,19,4,9,101
20131124DETBKN,21300197,DET,BKN,DET,110,240,38,80,5,17,28,40,13,31,44,20,19,9,9,3,2,109
20131124DETBKN,21300197,DET,BKN,BKN,-130,240,35,77,14,26,13,18,8,27,35,23,28,6,17,2,3,97
20131124CHILAC,21300198,CHI,LAC,CHI,240,240,32,81,4,12,14,23,11,28,39,24,18,2,14,1,5,82
20131124CHILAC,21300198,CHI,LAC,LAC,-280,240,48,82,8,21,17,19,6,38,44,32,23,8,9,5,1,121
20131124PHXORL,21300199,PHX,ORL,PHX,105,240,46,95,11,29,1,3,10,34,44,25,14,5,9,9,5,104
20131124PHXORL,21300199,PHX,ORL,ORL,-125,240,39,84,6,21,12,14,7,34,41,24,15,4,12,5,9,96
20131124UTAOKC,21300200,UTA,OKC,UTA,850,240,28,71,4,18,13,29,6,27,33,17,19,9,18,4,4,73
20131124UTAOKC,21300200,UTA,OKC,OKC,-1200,240,36,71,5,12,18,22,5,41,46,24,24,10,16,4,4,95
20131124SACLAL,21300201,SAC,LAL,SAC,160,240,35,84,8,24,8,15,7,35,42,24,17,6,13,3,9,86
20131124SACLAL,21300201,SAC,LAL,LAL,-180,240,40,87,8,26,12,15,9,35,44,20,17,8,10,9,3,100
20131125BOSCHA,21300202,BOS,CHA,BOS,145,240,35,80,9,20,17,21,11,28,39,22,24,8,11,5,3,96
20131125BOSCHA,21300202,BOS,CHA,CHA,-165,240,33,74,3,9,17,20,9,28,37,17,15,2,16,3,5,86
20131125MININD,21300203,MIN,IND,MIN,240,240,29,88,3,19,23,28,14,32,46,15,18,9,19,1,5,84
20131125MININD,21300203,MIN,IND,IND,-280,240,40,80,8,15,10,17,7,38,45,19,24,13,20,5,1,98
20131125MILDET,21300204,MIL,DET,MIL,260,240,33,73,6,19,22,26,10,29,39,23,20,5,18,4,1,94
20131125MILDET,21300204,MIL,DET,DET,-320,240,43,80,12,29,15,23,5,32,37,28,24,11,10,1,4,113
20131125PHXMIA,21300205,PHX,MIA,PHX,800,240,33,83,8,32,18,24,14,31,45,17,18,10,15,1,4,92
20131125PHXMIA,21300205,PHX,MIA,MIA,-1200,240,39,79,7,22,22,24,7,31,38,20,17,9,14,4,1,107
20131125HOUMEM,21300206,HOU,MEM,HOU,-120,240,34,69,6,24,19,27,11,32,43,12,20,7,18,6,7,93
20131125HOUMEM,21300206,HOU,MEM,MEM,100,240,34,82,4,13,14,18,14,21,35,22,22,12,15,7,6,86
20131125DENDAL,21300207,DEN,DAL,DEN,240,240,41,75,8,20,20,28,10,32,42,23,24,10,13,2,3,110
20131125DENDAL,21300207,DEN,DAL,DAL,-280,240,38,82,5,19,15,19,10,26,36,18,22,5,13,3,2,96
20131125NOPSAS,21300208,NOP,SAS,NOP,450,240,37,97,2,15,17,20,17,31,48,21,18,11,15,6,7,93
20131125NOPSAS,21300208,NOP,SAS,SAS,-600,240,44,81,10,25,14,19,7,38,45,30,18,12,19,7,6,112
20131125CHIUTA,21300209,CHI,UTA,CHI,-200,265,31,79,1,13,20,28,14,35,49,11,26,4,18,2,4,83
20131125CHIUTA,21300209,CHI,UTA,UTA,170,265,33,85,7,17,16,19,12,33,45,22,25,8,15,4,2,89
20131125NYKPOR,21300210,NYK,POR,NYK,270,240,38,85,6,15,9,14,10,34,44,24,17,5,9,3,5,91
20131125NYKPOR,21300210,NYK,POR,POR,-330,240,37,84,9,25,19,22,10,36,46,19,15,3,8,5,3,102
20131126BKNTOR,21300211,BKN,TOR,BKN,240,240,39,77,4,14,20,22,11,28,39,25,18,7,15,3,1,102
20131126BKNTOR,21300211,BKN,TOR,TOR,-280,240,34,78,11,26,21,22,9,25,34,18,24,4,15,1,3,100
20131126LALWAS,21300212,LAL,WAS,LAL,180,240,44,83,13,28,10,13,9,25,34,30,19,4,16,5,2,111
20131126LALWAS,21300212,LAL,WAS,WAS,-220,240,46,87,6,21,18,22,10,32,42,25,14,15,10,2,5,116
