game_id,gameid_num,away,home,tm,line,min,fgm,fga,3pm,3pa,ftm,fta,off,def,tot,ast,pf,st,to,bs,ba,pts
20150404MIADET,21401139,MIA,DET,DET,160,240,36,73,12,26,15,23,8,25,33,20,21,6,16,3,7,99
20150404BOSTOR,21401140,BOS,TOR,BOS,115,265,47,97,8,26,15,22,12,32,44,26,28,10,15,4,4,117
20150404BOSTOR,21401140,BOS,TOR,TOR,-135,265,40,83,6,23,30,38,9,37,46,15,22,7,16,4,4,116
20150404WASMEM,21401141,WAS,MEM,WAS,300,240,38,79,8,22,8,10,6,34,40,24,18,9,15,0,3,92
20150404WASMEM,21401141,WAS,MEM,MEM,-360,240,34,81,1,15,14,18,9,32,41,23,15,2,15,3,0,83
20150404GSWDAL,21401142,GSW,DAL,GSW,-280,240,43,95,14,36,23,32,17,38,55,28,37,12,14,4,2,123
20150404GSWDAL,21401142,GSW,DAL,DAL,240,240,34,80,3,16,39,54,10,34,44,14,23,6,16,2,4,110
20150404ORLMIL,21401143,ORL,MIL,ORL,350,240,40,86,8,21,9,13,12,33,45,23,13,7,12,10,6,97
20150404ORLMIL,21401143,ORL,MIL,MIL,-450,240,39,89,5,16,7,13,14,31,45,26,19,8,13,6,10,90
20150404LACDEN,21401144,LAC,DEN,LAC,-700,240,34,79,13,34,26,42,13,34,47,24,27,9,12,7,1,107
20150404LACDEN,21401144,LAC,DEN,DEN,500,240,32,85,6,22,22,31,15,29,44,21,31,7,15,1,7,92
20150404UTAPHX,21401145,UTA,PHX,UTA,105,240,29,74,7,21,20,24,13,34,47,17,23,10,18,2,7,85
20150404UTAPHX,21401145,UTA,PHX,PHX,-125,240,30,69,5,14,22,29,6,26,32,12,21,11,15,7,2,87
20150404NOPPOR,21401146,NOP,POR,NOP,180,240,39,85,7,16,5,10,9,26,35,18,18,8,9,5,3,90
20150404NOPPOR,21401146,NOP,POR,POR,-220,240,36,84,6,16,21,23,18,33,51,17,9,4,10,3,5,99
20150405HOUOKC,21401147,HOU,OKC,HOU,-120,240,38,81,8,28,31,50,12,30,42,18,25,14,10,4,2,115
20150405HOUOKC,21401147,HOU,OKC,OKC,100,240,40,92,14,30,18,26,17,34,51,21,32,4,18,2,4,112
20150405CHICLE,21401148,CHI,CLE,CHI,350,240,34,76,11,27,15,21,9,36,45,28,22,7,16,2,4,94
20150405CHICLE,21401148,CHI,CLE,CLE,-450,240,35,83,16,37,13,22,10,30,40,24,17,9,10,4,2,99
20150405MIAIND,21401149,MIA,IND,MIA,240,240,37,82,2,20,13,19,7,30,37,15,25,7,14,7,7,89
20150405MIAIND,21401149,MIA,IND,IND,-280,240,37,85,14,30,24,36,20,35,55,23,22,6,11,7,7,112
20150405GSWSAS,21401150,GSW,SAS,GSW,170,240,39,91,9,28,5,10,10,29,39,25,13,4,10,2,4,92
20150405GSWSAS,21401150,GSW,SAS,SAS,-200,240,44,83,7,21,12,15,6,41,47,27,13,8,12,4,2,107
20150405PHINYK,21401151,PHI,NYK,PHI,-110,240,38,99,10,32,5,8,19,17,36,22,23,8,10,5,14,91
20150405PHINYK,21401151,PHI,NYK,NYK,-110,240,37,72,3,13,24,29,15,34,49,24,18,6,18,14,5,101
20150405UTASAC,21401152,UTA,SAC,UTA,100,240,40,87,8,24,13,18,14,33,47,18,24,11,18,6,3,101
20150405UTASAC,21401152,UTA,SAC,SAC,-120,240,38,79,5,15,14,24,11,32,43,20,20,13,20,3,6,95
20150405LACLAL,21401153,LAC,LAL,LAC,-2000,240,40,75,15,27,11,18,7,33,40,27,20,10,10,1,3,106
20150405LACLAL,21401153,LAC,LAL,LAL,1000,240,29,75,7,17,13,22,14,27,41,17,18,3,17,3,1,78
20150407PHXATL,21401154,PHX,ATL,PHX,250,240,26,83,4,20,13,18,9,28,37,16,9,5,15,6,4,69
20150407PHXATL,21401154,PHX,ATL,ATL,-300,240,41,83,4,25,10,14,8,46,54,21,17,9,15,4,6,96
